Week,Fortnite
12/6/2020,87
12/13/2020,85
12/20/2020,89
12/27/2020,77
1/3/2021,64
1/10/2021,65
1/17/2021,72
1/24/2021,66
1/31/2021,68
2/7/2021,62
2/14/2021,66
2/21/2021,65
2/28/2021,71
3/7/2021,66
3/14/2021,100
3/21/2021,66
3/28/2021,63
4/4/2021,54
4/11/2021,53
4/18/2021,52
4/25/2021,51
5/2/2021,49
5/9/2021,48
5/16/2021,45
5/23/2021,50
5/30/2021,56
6/6/2021,79
6/13/2021,55
6/20/2021,57
6/27/2021,52
7/4/2021,49
7/11/2021,50
7/18/2021,47
7/25/2021,48
8/1/2021,58
8/8/2021,54
8/15/2021,48
8/22/2021,43
8/29/2021,41
9/5/2021,42
9/12/2021,71
9/19/2021,47
9/26/2021,39
10/3/2021,38
10/10/2021,38
10/17/2021,40
10/24/2021,45
10/31/2021,38
11/7/2021,38
11/14/2021,48
11/21/2021,47
11/28/2021,42
